id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
1216492,2020/21,Abu Dhabi,2020-09-19,League,AT Rayudu,Sheikh Zayed Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,163.0,20.0,N,,CB Gaffaney,VK Sharma
1216493,2020/21,,2020-09-20,League,MP Stoinis,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Delhi Capitals,tie,,158.0,20.0,Y,,AK Chaudhary,Nitin Menon
1216534,2020/21,,2020-09-21,League,YS Chahal,Dubai International Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,10.0,164.0,20.0,N,,AY Dandekar,Nitin Menon
1216496,2020/21,,2020-09-22,League,SV Samson,Sharjah Cricket Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,runs,16.0,217.0,20.0,N,,C Shamshuddin,VA Kulkarni
1216508,2020/21,Abu Dhabi,2020-09-23,League,RG Sharma,Sheikh Zayed Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,49.0,196.0,20.0,N,,CB Gaffaney,S Ravi
1216510,2020/21,,2020-09-24,League,KL Rahul,Dubai International Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,runs,97.0,207.0,20.0,N,,AK Chaudhary,PR Reiffel
1216539,2020/21,,2020-09-25,League,PP Shaw,Dubai International Cricket Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,runs,44.0,176.0,20.0,N,,KN Ananthapadmanabhan,RK Illingworth
1216545,2020/21,Abu Dhabi,2020-09-26,League,Shubman Gill,Sheikh Zayed Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,7.0,143.0,20.0,N,,CB Gaffaney,VK Sharma
1216527,2020/21,,2020-09-27,League,SV Samson,Sharjah Cricket Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4.0,224.0,20.0,N,,RK Illingworth,K Srinivasan
1216547,2020/21,,2020-09-28,League,AB de Villiers,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,tie,,202.0,20.0,Y,,Nitin Menon,PR Reiffel
1216532,2020/21,Abu Dhabi,2020-09-29,League,Rashid Khan,Sheikh Zayed Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,15.0,163.0,20.0,N,,VK Sharma,S Ravi
1216504,2020/21,,2020-09-30,League,Shivam Mavi,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,37.0,175.0,20.0,N,,KN Ananthapadmanabhan,C Shamshuddin
1216503,2020/21,Abu Dhabi,2020-10-01,League,KA Pollard,Sheikh Zayed Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,48.0,192.0,20.0,N,,VK Sharma,S Ravi
1216516,2020/21,,2020-10-02,League,PK Garg,Dubai International Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,7.0,165.0,20.0,N,,AK Chaudhary,PR Reiffel
1216514,2020/21,Abu Dhabi,2020-10-03,League,YS Chahal,Sheikh Zayed Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,wickets,8.0,155.0,20.0,N,,CB Gaffaney,S Ravi
1216515,2020/21,,2020-10-03,League,SS Iyer,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,runs,18.0,229.0,20.0,N,,VA Kulkarni,RK Illingworth
1216513,2020/21,,2020-10-04,League,SR Watson,Dubai International Cricket Stadium,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,wickets,10.0,179.0,20.0,N,,AY Dandekar,Nitin Menon
1216538,2020/21,,2020-10-04,League,TA Boult,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,34.0,209.0,20.0,N,,KN Ananthapadmanabhan,RK Illingworth
1216519,2020/21,,2020-10-05,League,AR Patel,Dubai International Cricket Stadium,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,runs,59.0,197.0,20.0,N,,Nitin Menon,YC Barde
1216511,2020/21,Abu Dhabi,2020-10-06,League,SA Yadav,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,runs,57.0,194.0,20.0,N,,VK Sharma,S Ravi
1216501,2020/21,Abu Dhabi,2020-10-07,League,RA Tripathi,Sheikh Zayed Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,10.0,168.0,20.0,N,,KN Ananthapadmanabhan,RK Illingworth
1216542,2020/21,,2020-10-08,League,JM Bairstow,Dubai International Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,69.0,202.0,20.0,N,,AK Chaudhary,Nitin Menon
1216500,2020/21,,2020-10-09,League,R Ashwin,Sharjah Cricket Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,46.0,185.0,20.0,N,,KN Ananthapadmanabhan,C Shamshuddin
1216523,2020/21,Abu Dhabi,2020-10-10,League,KD Karthik,Sheikh Zayed Stadium,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,2.0,165.0,20.0,N,,UV Gandhe,CB Gaffaney
1216525,2020/21,,2020-10-10,League,V Kohli,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,37.0,170.0,20.0,N,,AK Chaudhary,PR Reiffel
1216507,2020/21,,2020-10-11,League,R Tewatia,Dubai International Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,5.0,159.0,20.0,N,,YC Barde,PR Reiffel
1216529,2020/21,Abu Dhabi,2020-10-11,League,Q de Kock,Sheikh Zayed Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5.0,163.0,20.0,N,,CB Gaffaney,S Ravi
1216540,2020/21,,2020-10-12,League,AB de Villiers,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,82.0,195.0,20.0,N,,RK Illingworth,K Srinivasan
1216528,2020/21,,2020-10-13,League,RA Jadeja,Dubai International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,20.0,168.0,20.0,N,,AK Chaudhary,PR Reiffel
1216543,2020/21,,2020-10-14,League,A Nortje,Dubai International Cricket Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,13.0,162.0,20.0,N,,AK Chaudhary,Nitin Menon
1216531,2020/21,,2020-10-15,League,KL Rahul,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,8.0,172.0,20.0,N,,KN Ananthapadmanabhan,C Shamshuddin
1216526,2020/21,Abu Dhabi,2020-10-16,League,Q de Kock,Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,8.0,149.0,20.0,N,,CB Gaffaney,VK Sharma
1216509,2020/21,,2020-10-17,League,S Dhawan,Sharjah Cricket Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,5.0,180.0,20.0,N,,KN Ananthapadmanabhan,RK Illingworth
1216522,2020/21,,2020-10-17,League,AB de Villiers,Dubai International Cricket Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,wickets,7.0,178.0,20.0,N,,AK Chaudhary,Nitin Menon
1216512,2020/21,Abu Dhabi,2020-10-18,League,LH Ferguson,Sheikh Zayed Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,,164.0,20.0,Y,,PG Pathak,S Ravi
1216517,2020/21,,2020-10-18,League,KL Rahul,Dubai International Cricket Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,,177.0,20.0,Y,,Nitin Menon,PR Reiffel
1216533,2020/21,Abu Dhabi,2020-10-19,League,JC Buttler,Sheikh Zayed Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,wickets,7.0,126.0,20.0,N,,CB Gaffaney,VK Sharma
1216546,2020/21,,2020-10-20,League,S Dhawan,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,wickets,5.0,165.0,20.0,N,,C Shamshuddin,RK Illingworth
1216494,2020/21,Abu Dhabi,2020-10-21,League,Mohammed Siraj,Sheikh Zayed Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,wickets,8.0,85.0,20.0,N,,VK Sharma,S Ravi
1216518,2020/21,,2020-10-22,League,MK Pandey,Dubai International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8.0,155.0,20.0,N,,Nitin Menon,PR Reiffel
1216521,2020/21,,2020-10-23,League,TA Boult,Sharjah Cricket Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,10.0,115.0,20.0,N,,C Shamshuddin,VA Kulkarni
1216497,2020/21,Abu Dhabi,2020-10-24,League,CV Varun,Sheikh Zayed Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,59.0,195.0,20.0,N,,CB Gaffaney,PG Pathak
1216498,2020/21,,2020-10-24,League,CJ Jordan,Dubai International Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,runs,12.0,127.0,20.0,N,,AY Dandekar,PR Reiffel
1216541,2020/21,Abu Dhabi,2020-10-25,League,BA Stokes,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,8.0,196.0,20.0,N,,UV Gandhe,VK Sharma
1216544,2020/21,,2020-10-25,League,RD Gaikwad,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,wickets,8.0,146.0,20.0,N,,C Shamshuddin,RK Illingworth
1216520,2020/21,,2020-10-26,League,CH Gayle,Sharjah Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,8.0,150.0,20.0,N,,KN Ananthapadmanabhan,RK Illingworth
1216524,2020/21,,2020-10-27,League,WP Saha,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,88.0,220.0,20.0,N,,AK Chaudhary,Nitin Menon
1216499,2020/21,Abu Dhabi,2020-10-28,League,SA Yadav,Sheikh Zayed Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5.0,165.0,20.0,N,,UV Gandhe,CB Gaffaney
1216536,2020/21,,2020-10-29,League,RD Gaikwad,Dubai International Cricket Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,173.0,20.0,N,,C Shamshuddin,RK Illingworth
1216537,2020/21,Abu Dhabi,2020-10-30,League,BA Stokes,Sheikh Zayed Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,186.0,20.0,N,,CB Gaffaney,S Ravi
1216502,2020/21,,2020-10-31,League,Sandeep Sharma,Sharjah Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5.0,121.0,20.0,N,,KN Ananthapadmanabhan,K Srinivasan
1216535,2020/21,,2020-10-31,League,Ishan Kishan,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9.0,111.0,20.0,N,,YC Barde,PR Reiffel
1216506,2020/21,Abu Dhabi,2020-11-01,League,RD Gaikwad,Sheikh Zayed Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,9.0,154.0,20.0,N,,PG Pathak,VK Sharma
1216530,2020/21,,2020-11-01,League,PJ Cummins,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,60.0,192.0,20.0,N,,Nitin Menon,PR Reiffel
1216505,2020/21,Abu Dhabi,2020-11-02,League,A Nortje,Sheikh Zayed Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,153.0,20.0,N,,CB Gaffaney,S Ravi
1216495,2020/21,,2020-11-03,League,S Nadeem,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,10.0,150.0,20.0,N,,C Shamshuddin,RK Illingworth
1237177,2020/21,,2020-11-05,Qualifier 1,JJ Bumrah,Dubai International Cricket Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,57.0,201.0,20.0,N,,CB Gaffaney,Nitin Menon
1237178,2020/21,Abu Dhabi,2020-11-06,Eliminator,KS Williamson,Sheikh Zayed Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6.0,132.0,20.0,N,,PR Reiffel,S Ravi
1237180,2020/21,Abu Dhabi,2020-11-08,Qualifier 2,MP Stoinis,Sheikh Zayed Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,runs,17.0,190.0,20.0,N,,PR Reiffel,S Ravi
1237181,2020/21,,2020-11-10,Final,TA Boult,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5.0,157.0,20.0,N,,CB Gaffaney,Nitin Menon
